Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3983,2333,998,50343.812500,0.019824
2,1000,0.4,0.2,50.0,1000,4006,2396,995,49500.792969,0.020101
3,1000,0.4,0.2,50.0,1000,4117,2464,998,50611.468750,0.019719
4,1000,0.4,0.2,50.0,1000,3750,2253,998,47801.046875,0.020878
5,1000,0.4,0.2,50.0,1000,4119,2468,997,50219.234375,0.019853
6,1000,0.4,0.2,50.0,1000,3957,2389,998,50674.699219,0.019694
7,1000,0.4,0.2,50.0,1000,3978,2339,998,50691.488281,0.019688
8,1000,0.4,0.2,50.0,1000,3918,2391,998,50758.792969,0.019662
9,1000,0.4,0.2,50.0,1000,4035,2393,997,50189.101562,0.019865
10,1000,0.4,0.2,50.0,1000,19970,6192,527,50817.449219,0.010370
